A1CF	rep2_peak_4778 (+2911)
ENO1	rep2_peak_250 (+20436)
ENOPH1	rep2_peak_30340 (-127), rep2_peak_30341 (+4566)
ENOX2	rep2_peak_42571 (-3695)
ENPP2	rep2_peak_39548 (-16452), rep2_peak_39547 (+2919)
ENPP3	rep2_peak_35455 (-183)
ENPP7	rep2_peak_17560 (+12228), rep2_peak_17561 (+29598)
ENSA	rep2_peak_2454 (+17768), rep2_peak_2453 (+24675)
ENSG00000144785	rep2_peak_8866 (+13952)
ENSG00000203546	rep2_peak_11026 (-988), rep2_peak_11025 (+77)
ENSG00000243696	rep2_peak_27673 (-9588)
ENSG00000244255	rep2_peak_34178 (-281)
ENSG00000249209	rep2_peak_25564 (-16258)
ENSG00000255439	rep2_peak_14299 (+56)
ENSG00000255508	rep2_peak_6846 (-99)
ENSG00000258989	rep2_peak_11436 (+8635), rep2_peak_11438 (+24835)
ENSG00000259132	rep2_peak_10907 (-483), rep2_peak_10905 (+4445), rep2_peak_10904 (+5440)
ENSG00000260272	rep2_peak_13519 (-10826)
ENSG00000260734	rep2_peak_14846 (+6728)
ENSG00000261873	rep2_peak_16742 (+9291)
ENSG00000263620	rep2_peak_15621 (-10509)
ENSG00000265590	rep2_peak_25536 (+19125)
ENSG00000267740	rep2_peak_18899 (+22938)
ENSG00000268041	rep2_peak_19712 (+23907)
ENSG00000268744	rep2_peak_19114 (-236)
ENSG00000268861	rep2_peak_18956 (+16071)
ENSG00000269242	rep2_peak_19121 (+26188)
ENSG00000270099	rep2_peak_5445 (-23763), rep2_peak_5447 (+5705)
ENSG00000270249	rep2_peak_37654 (+16758)
ENSG00000270339	rep2_peak_2340 (-1352)
ENSG00000272162	rep2_peak_33565 (-94)
ENSG00000273291	rep2_peak_27394 (-21958)
ENSG00000275993	rep2_peak_25424 (-14080)
ENSG00000277117	rep2_peak_25411 (-8453)
ENSG00000279493	rep2_peak_25411 (+2241)
ENSG00000280148	rep2_peak_35705 (-2073)
ENSG00000281028	rep2_peak_29858 (-202)
ENSG00000283088	rep2_peak_20098 (+17410)
ENSG00000283149	rep2_peak_29212 (+17305)
ENSG00000283758	rep2_peak_19524 (-16785), rep2_peak_19525 (+19019)
ENSG00000284695	rep2_peak_30196 (+15064), rep2_peak_30195 (+24116)
ENTPD4	rep2_peak_38639 (+29950)
EPAS1	rep2_peak_21134 (+9154), rep2_peak_21135 (+9954), rep2_peak_21140 (+29066)
EPB41L1	rep2_peak_24756 (+28601)
EPB41L2	rep2_peak_35446 (+24138)
EPB41L4B	rep2_peak_41058 (+13450)
EPB41L5	rep2_peak_22341 (-16681)
EPCAM	rep2_peak_21202 (-23968)
EPDR1	rep2_peak_36745 (+22711)
EPHA1	rep2_peak_38142 (+13164), rep2_peak_38141 (+15333)
EPHA2	rep2_peak_441 (+9544)
EPHB4	rep2_peak_37587 (+13239)
EPHX1	rep2_peak_3672 (+3183)
EPM2AIP1	rep2_peak_27259 (+20838)
EPN3	rep2_peak_16642 (+10559)
EPOP	rep2_peak_16140 (-28517), rep2_peak_16132 (+17737)
EPPK1	rep2_peak_39951 (-27809)
EPRS	rep2_peak_3581 (-12731)
EPS15L1	rep2_peak_19250 (-21134), rep2_peak_19249 (-17201)
EPS8	rep2_peak_8346 (-47), rep2_peak_8345 (+8995)
ERAP1	rep2_peak_32239 (+26241)
ERBB2	rep2_peak_16178 (-4340)
ERBB3	rep2_peak_8847 (+1093), rep2_peak_8848 (+2221)
ERC1	rep2_peak_8085 (+26943)
ERCC1	rep2_peak_19822 (-20919), rep2_peak_19821 (-20115)
ERG28	rep2_peak_11725 (+12692)
ERGIC1	rep2_peak_33122 (+25159)
ERI1	rep2_peak_38407 (-24052), rep2_peak_38408 (-6943)
ERI2	rep2_peak_13996 (+2664)
ERI3	rep2_peak_1149 (+27108)
ERLEC1	rep2_peak_21249 (-111)
ERN1	rep2_peak_17000 (-20334)
ERRFI1	rep2_peak_198 (-1205)
ERV3-1	rep2_peak_36989 (-6562), rep2_peak_36985 (+6994)
ESD	rep2_peak_10328 (-2123)
ESPNL	rep2_peak_23916 (-20101)
ESR1	rep2_peak_35848 (-21406), rep2_peak_35850 (-7371)
ESRP2	rep2_peak_14735 (-1112)
ESRRB	rep2_peak_11738 (-10280)
ETFA	rep2_peak_13017 (-1546)
ETFB	rep2_peak_20058 (-5785), rep2_peak_20057 (+773), rep2_peak_20056 (+2221)
ETNK2	rep2_peak_3266 (+6730)
ETS2	rep2_peak_25653 (-17163), rep2_peak_25658 (+19168), rep2_peak_25659 (+26426)
ETV4	rep2_peak_16415 (-27283), rep2_peak_16411 (+1754), rep2_peak_16410 (+15442)
ETV5	rep2_peak_29193 (+11228)
ETV6	rep2_peak_8260 (-681)
EVI5L	rep2_peak_18966 (+6985)
EVPL	rep2_peak_17385 (+23705)
EXOC3L1	rep2_peak_14695 (+6306)
EXOC3L4	rep2_peak_12121 (+574), rep2_peak_12122 (+3714)
EXOSC6	rep2_peak_14819 (-52)
F10	rep2_peak_10802 (+16415), rep2_peak_10804 (+27626)
F11	rep2_peak_31156 (-5262), rep2_peak_31157 (-97)
F11R	rep2_peak_2688 (+7367)
F2	rep2_peak_6634 (-836), rep2_peak_6635 (+10)
F5	rep2_peak_2866 (+10123), rep2_peak_2865 (+14132), rep2_peak_2864 (+16307)
FAAP20	rep2_peak_91 (-13134)
FABP1	rep2_peak_21868 (-11262), rep2_peak_21866 (-3573), rep2_peak_21865 (+7)
FAHD2A	rep2_peak_21899 (-12008), rep2_peak_21902 (+27132)
FAIM2	rep2_peak_8677 (+15716)
FAM102A	rep2_peak_41470 (-10656), rep2_peak_41466 (+29693)
FAM109A	rep2_peak_9546 (+1320)
FAM114A1	rep2_peak_29947 (+4998)
FAM120B	rep2_peak_36168 (+759)
FAM126B	rep2_peak_23281 (+13731), rep2_peak_23280 (+28321)
FAM135A	rep2_peak_34832 (-14036), rep2_peak_34834 (+13591)
FAM162A	rep2_peak_28289 (+8055)
FAM169A	rep2_peak_31917 (-9822), rep2_peak_31914 (-190), rep2_peak_31911 (+16645), rep2_peak_31910 (+18139)
FAM171A1	rep2_peak_4299 (+26069)
FAM171A2	rep2_peak_16471 (-5728)
FAM192A	rep2_peak_14562 (+29592)
FAM193B	rep2_peak_33242 (+8031)
FAM19A4	rep2_peak_27909 (-13896)
FAM208B	rep2_peak_4184 (+8028)
FAM20A	rep2_peak_17146 (-5216), rep2_peak_17142 (+16274), rep2_peak_17141 (+20926)
FAM20C	rep2_peak_36179 (+26955)
FAM3B	rep2_peak_25683 (+5949), rep2_peak_25684 (+8582)
FAM46A	rep2_peak_34915 (-23727)
FAM46B	rep2_peak_777 (+8587)
FAM50B	rep2_peak_33444 (-13975), rep2_peak_33446 (-8207)
FAM60A	rep2_peak_8478 (+31)
FAM69A	rep2_peak_1804 (+10227), rep2_peak_1803 (+25503)
FAM69B	rep2_peak_41713 (-13673)
FAM72C	rep2_peak_2271 (-4249)
FAM83A	rep2_peak_39614 (-11395)
FAM83G	rep2_peak_15837 (-1455), rep2_peak_15834 (+16016)
FAM96A	rep2_peak_12734 (+21030)
FANCA	rep2_peak_15333 (-6027)
FANCE	rep2_peak_34274 (-23699)
FANCL	rep2_peak_21322 (-20052)
FANK1	rep2_peak_5986 (+15651)
FARP1	rep2_peak_10654 (-24968), rep2_peak_10659 (+18435)
FARSB	rep2_peak_23620 (-14429)
FASN	rep2_peak_17692 (-5784), rep2_peak_17691 (-4643)
FAXDC2	rep2_peak_32986 (+7752), rep2_peak_32985 (+13489)
FBLIM1	rep2_peak_421 (+16356)
FBLN1	rep2_peak_26678 (-11853)
FBLN5	rep2_peak_11875 (-10203)
FBN3	rep2_peak_18978 (-5189)
FBRSL1	rep2_peak_9948 (-18273)
FBXL19	rep2_peak_14279 (-1885)
FBXO25	rep2_peak_38342 (-14971), rep2_peak_38345 (-6039)
FBXO31	rep2_peak_15202 (-288), rep2_peak_15201 (+1261), rep2_peak_15200 (+4296), rep2_peak_15199 (+27842)
FBXO38	rep2_peak_32868 (+10772), rep2_peak_32869 (+14155)
FBXO39	rep2_peak_15554 (+19934)
FBXO4	rep2_peak_31524 (+3976)
FBXO41	rep2_peak_21637 (+21913)
FBXO6	rep2_peak_346 (+7531)
FBXW2	rep2_peak_41247 (+9662), rep2_peak_41246 (+14478), rep2_peak_41244 (+26518)
FCER1G	rep2_peak_2701 (+3418)
FCGR2A	rep2_peak_2731 (+1114)
FCGRT	rep2_peak_20005 (-8985)
FCHSD2	rep2_peak_7245 (-263)
FCRLA	rep2_peak_2739 (-4567)
FDFT1	rep2_peak_38454 (+4911)
FEM1A	rep2_peak_18860 (-21971)
FERMT1	rep2_peak_24201 (+27915)
FES	rep2_peak_13253 (-10120)
FETUB	rep2_peak_29219 (-9005), rep2_peak_29220 (-5908)
FGA	rep2_peak_30912 (-7445), rep2_peak_30911 (-5211), rep2_peak_30909 (-120), rep2_peak_30906 (+13259)
FGB	rep2_peak_30905 (-2685), rep2_peak_30906 (+14551)
FGD4	rep2_peak_8509 (-83), rep2_peak_8512 (+28316)
FGF17	rep2_peak_38586 (-11595)
FGF19	rep2_peak_7175 (+2105), rep2_peak_7172 (+16024)
FGF21	rep2_peak_19976 (+17098)
FGF9	rep2_peak_10009 (+25717)
FGFBP3	rep2_peak_5343 (+22175)
FGFR3	rep2_peak_29555 (-15110), rep2_peak_29556 (-13118), rep2_peak_29558 (-8009), rep2_peak_29561 (+9220)
FGFR4	rep2_peak_33222 (+389)
FGG	rep2_peak_30915 (-5329), rep2_peak_30914 (-273), rep2_peak_30912 (+14437), rep2_peak_30911 (+16671)
FGGY	rep2_peak_1470 (+20589)
FGL1	rep2_peak_38558 (-5699), rep2_peak_38555 (+2947), rep2_peak_38552 (+14118)
FGR	rep2_peak_797 (+27796)
FIGLA	rep2_peak_21582 (-18138), rep2_peak_21581 (-16756)
FKBP11	rep2_peak_8646 (+15437)
FKBP1B	rep2_peak_20661 (+3447)
FLNB	rep2_peak_27753 (-15771), rep2_peak_27757 (+12909)
FLOT1	rep2_peak_34109 (-195), rep2_peak_34107 (+21138)
FLRT2	rep2_peak_11801 (-10083)
FLVCR2	rep2_peak_11721 (+24234)
FMNL1	rep2_peak_16501 (-19676)
FMNL2	rep2_peak_22625 (-35), rep2_peak_22628 (+9514), rep2_peak_22630 (+15285), rep2_peak_22631 (+20436)
FMO5	rep2_peak_2355 (-14686), rep2_peak_2354 (-13635), rep2_peak_2353 (-12674), rep2_peak_2352 (-8455), rep2_peak_2350 (+9978)
FMR1	rep2_peak_42643 (-26898)
FN1	rep2_peak_23462 (+15447), rep2_peak_23459 (+18575)
FN3K	rep2_peak_17747 (+2880)
FNBP1	rep2_peak_41560 (+14470)
FNDC3B	rep2_peak_29006 (+21273)
FOLR3	rep2_peak_7218 (-22980)
FOSB	rep2_peak_19821 (-24314), rep2_peak_19822 (-23510)
FOSL2	rep2_peak_20798 (-24), rep2_peak_20800 (+3749)
FOXA2	rep2_peak_24466 (-1053), rep2_peak_24465 (+88), rep2_peak_24463 (+5761)
FOXA3	rep2_peak_19854 (+9693), rep2_peak_19858 (+18654)
FOXE1	rep2_peak_40894 (+23733)
FOXJ1	rep2_peak_17392 (+2710)
FOXJ3	rep2_peak_1095 (-5337), rep2_peak_1093 (+9780)
FOXK2	rep2_peak_17734 (-2220)
FOXM1	rep2_peak_8111 (+26931)
FOXN2	rep2_peak_21232 (-274), rep2_peak_21234 (+14839)
FOXO3	rep2_peak_35142 (+26795)
FOXP1	rep2_peak_27954 (+3864), rep2_peak_27953 (+24192)
FOXP4	rep2_peak_34412 (-26457), rep2_peak_34417 (+22410)
FOXQ1	rep2_peak_33338 (-479), rep2_peak_33344 (+10462), rep2_peak_33346 (+13402), rep2_peak_33347 (+23167)
FRAT1	rep2_peak_5487 (-62), rep2_peak_5489 (+8763)
FRAT2	rep2_peak_5492 (-106), rep2_peak_5489 (+6679)
FRMD5	rep2_peak_12420 (-4369)
FRMD8	rep2_peak_6974 (-2646), rep2_peak_6977 (+15443)
FRRS1	rep2_peak_1940 (+6696), rep2_peak_1938 (+26715)
FRY	rep2_peak_10122 (+15321), rep2_peak_10123 (+28359)
FRYL	rep2_peak_30048 (-17981)
FSCN1	rep2_peak_36333 (-7781)
FSD1L	rep2_peak_40993 (-29444), rep2_peak_40994 (-15491)
FST	rep2_peak_31596 (-26282), rep2_peak_31597 (-15522), rep2_peak_31598 (-3176), rep2_peak_31602 (+3029)
FTH1	rep2_peak_6812 (-29519), rep2_peak_6809 (-13212), rep2_peak_6807 (-5572), rep2_peak_6806 (-4586)
FTSJ1	rep2_peak_42143 (-153)
FUBP3	rep2_peak_41575 (+10939), rep2_peak_41577 (+18780)
FUK	rep2_peak_14825 (-25986)
FUOM	rep2_peak_6036 (-1666)
FURIN	rep2_peak_13251 (-11391), rep2_peak_13253 (+1414)
FUT5	rep2_peak_18899 (-10225), rep2_peak_18896 (-684)
FXYD2	rep2_peak_7810 (-13300)
FZD4	rep2_peak_7477 (+13891)
FZD5	rep2_peak_23392 (-29877), rep2_peak_23387 (-272), rep2_peak_23384 (+3844), rep2_peak_23383 (+21492)
G0S2	rep2_peak_3377 (-21254), rep2_peak_3378 (-1628)
G3BP2	rep2_peak_30258 (+513)
G6PC	rep2_peak_16346 (-6332), rep2_peak_16348 (-120), rep2_peak_16351 (+20289)
GABRD	rep2_peak_84 (+28175)
GABRE	rep2_peak_42659 (-9770), rep2_peak_42658 (+3783)
GABRR3	rep2_peak_28074 (+24772)
GADD45A	rep2_peak_1623 (-20768), rep2_peak_1627 (+12848), rep2_peak_1628 (+15835)
GADD45B	rep2_peak_18750 (-17906), rep2_peak_18751 (-12890), rep2_peak_18752 (-1371)
GAGE1	rep2_peak_42170 (+10689)
GAL3ST2	rep2_peak_24002 (-5153)
GALNT11	rep2_peak_38233 (+6997)
GALR3	rep2_peak_26454 (-5501)
GAMT	rep2_peak_18697 (+1028)
GAPDH	rep2_peak_8168 (+8527)
GAPVD1	rep2_peak_41401 (+11052)
GARS	rep2_peak_36658 (+112)
GAS2	rep2_peak_6423 (+8163)
GAS2L3	rep2_peak_9358 (-17771)
GATA3	rep2_peak_4216 (-3852)
GATA5	rep2_peak_25329 (-11742)
GATA6	rep2_peak_18061 (+6057), rep2_peak_18062 (+24965)
GATAD1	rep2_peak_37362 (-4527)
GBA2	rep2_peak_40316 (+2429)
GBP1	rep2_peak_1742 (+19845)
GBP3	rep2_peak_1742 (-22633)
GBP6	rep2_peak_1743 (-6835)
GCAT	rep2_peak_26454 (+9976)
GCH1	rep2_peak_11342 (+29898)
GCKR	rep2_peak_20770 (+21488)
GCLC	rep2_peak_34707 (-3079)
GCM1	rep2_peak_34691 (+8603), rep2_peak_34690 (+13870), rep2_peak_34689 (+28899)
GCNT1	rep2_peak_40592 (-17694), rep2_peak_40594 (+14701)
GCNT2	rep2_peak_33557 (-22604)
GCNT4	rep2_peak_31927 (+10684), rep2_peak_31926 (+19825)
GDA	rep2_peak_40543 (-27614), rep2_peak_40545 (-19448), rep2_peak_40547 (+5512)
GDF15	rep2_peak_19319 (-23032), rep2_peak_19320 (-21022), rep2_peak_19322 (-11662), rep2_peak_19323 (-5883), rep2_peak_19324 (-4088), rep2_peak_19325 (-1)
GDF7	rep2_peak_20617 (+18118)
GDF9	rep2_peak_32528 (+201)
GDPD5	rep2_peak_7315 (+7939)
GGA2	rep2_peak_14072 (-29972)
GGCX	rep2_peak_21793 (-78)
GGH	rep2_peak_39105 (-13289), rep2_peak_39104 (-747)
GGT1	rep2_peak_26080 (-24131)
GGT2	rep2_peak_25974 (-27957)
GGTLC3	rep2_peak_25896 (+21685)
GHRL	rep2_peak_26924 (-24586)
GIMAP1-GIMAP5	rep2_peak_38205 (+10932)
GIMAP5	rep2_peak_38205 (-9748)
GJC2	rep2_peak_3720 (-35)
GK	rep2_peak_41984 (-25446), rep2_peak_41989 (+26115)
GK3P	rep2_peak_30985 (+23167)
GLB1	rep2_peak_27235 (-4755)
GLDC	rep2_peak_40088 (-19338)
GLRA1	rep2_peak_32962 (+106)
GLRX	rep2_peak_32184 (+24464)
GLRX2	rep2_peak_3133 (-6195), rep2_peak_3131 (-3705)
GLRX5	rep2_peak_11993 (-11014), rep2_peak_11994 (-9518), rep2_peak_11995 (+3051), rep2_peak_11996 (+13532), rep2_peak_11998 (+15869)
GLT1D1	rep2_peak_9915 (+8144)
GLT8D1	rep2_peak_27664 (-23283)
GLTP	rep2_peak_9502 (+15958)
GLTPD2	rep2_peak_15503 (-1009)
GLYATL1	rep2_peak_6735 (-16767)
GLYATL3	rep2_peak_34618 (+6822), rep2_peak_34621 (+23193)
GLYCTK	rep2_peak_27642 (-2350), rep2_peak_27645 (+2114), rep2_peak_27646 (+20039)
GMDS	rep2_peak_33360 (-13540), rep2_peak_33356 (+20014)
GMEB1	rep2_peak_831 (-20136)
GMFB	rep2_peak_11323 (+5888)
GMNN	rep2_peak_33800 (-3494)
GMPPB	rep2_peak_27560 (-26828)
GNA13	rep2_peak_17038 (+15126)
GNAI2	rep2_peak_27575 (-26893)
GNAT1	rep2_peak_27571 (-19779)
GNAT2	rep2_peak_2042 (-5772), rep2_peak_2039 (+26805)
GNAZ	rep2_peak_26017 (+5532)
GNB1L	rep2_peak_25929 (-26467), rep2_peak_25928 (-1055)
GNG4	rep2_peak_3964 (-1137), rep2_peak_3961 (+2346)
GNG5	rep2_peak_1684 (+1190)
GNG7	rep2_peak_18771 (+16848)
GNRH1	rep2_peak_38674 (+24505)
GOLGA1	rep2_peak_41390 (-9166)
GOLGA6L2	rep2_peak_12192 (+23973)
GOLGA7	rep2_peak_38918 (-27124)
GOLM1	rep2_peak_40686 (+5644)
GOLPH3	rep2_peak_31352 (-26997)
GORASP2	rep2_peak_22886 (-6384)
GOSR1	rep2_peak_16002 (-26519)
GOT1	rep2_peak_5523 (+9135)
GP1BB	rep2_peak_25923 (+8211)
GP9	rep2_peak_28456 (-5897)
GPAT4	rep2_peak_38923 (+26226)
GPATCH1	rep2_peak_19441 (+17268), rep2_peak_19442 (+20104)
GPATCH3	rep2_peak_758 (-10239)
GPBP1	rep2_peak_31669 (-285)
GPC3	rep2_peak_42619 (-21377), rep2_peak_42618 (-9115), rep2_peak_42615 (-1721)
GPC6	rep2_peak_10584 (-24448), rep2_peak_10585 (-2134)
GPD1L	rep2_peak_27181 (-10898)
GPKOW	rep2_peak_42167 (-13885)
GPR108	rep2_peak_18929 (+7222), rep2_peak_18928 (+11926), rep2_peak_18927 (+14270)
GPR142	rep2_peak_17274 (+6601)
GPR156	rep2_peak_28261 (+10167)
GPR157	rep2_peak_263 (+28570)
GPR171	rep2_peak_28768 (+4613), rep2_peak_28767 (+24733)
GPR21	rep2_peak_41319 (-22225)
GPR25	rep2_peak_3188 (+19017)
GPR31	rep2_peak_36081 (+27009)
GPR37	rep2_peak_37851 (+2593)
GPR39	rep2_peak_22495 (+23394)
GPR55	rep2_peak_23744 (+19593)
GPR65	rep2_peak_11811 (+18656), rep2_peak_11812 (+19424)
GPR84	rep2_peak_8817 (+23387)
GPRC5C	rep2_peak_17280 (+1197), rep2_peak_17283 (+11894)
GPRC5D	rep2_peak_8318 (+3208)
GPSM3	rep2_peak_34192 (-3706)
GPT2	rep2_peak_14338 (-19888), rep2_peak_14342 (-7640), rep2_peak_14343 (-1673), rep2_peak_14345 (+11758)
GPX2	rep2_peak_11479 (-68), rep2_peak_11478 (+4145)
GPX3	rep2_peak_32936 (-15892)
GPX4	rep2_peak_18670 (-1983)
GRAMD1A	rep2_peak_19496 (-5192), rep2_peak_19499 (+6241)
GRAMD1C	rep2_peak_28215 (-7616)
GRAMD2A	rep2_peak_12919 (+14913)
GRAMD4	rep2_peak_26719 (-10995), rep2_peak_26721 (+18666)
GRAP	rep2_peak_15838 (-14666)
GRB14	rep2_peak_22776 (+8069)
GRB2	rep2_peak_17334 (+22193)
GREB1	rep2_peak_20455 (-28020), rep2_peak_20458 (-686), rep2_peak_20460 (+5419)
GRIK4	rep2_peak_7892 (+20603), rep2_peak_7894 (+29135)
GRINA	rep2_peak_39958 (+16963)
GRIPAP1	rep2_peak_42161 (-17812)
GSAP	rep2_peak_37254 (+6829)
GSDMB	rep2_peak_16192 (-5704)
GSE1	rep2_peak_15174 (+43)
GSG1	rep2_peak_8320 (+23972)
GSN	rep2_peak_41264 (-18339), rep2_peak_41265 (-12613), rep2_peak_41267 (-4436), rep2_peak_41268 (-2817), rep2_peak_41270 (-1608), rep2_peak_41274 (+22604)
GSR	rep2_peak_38793 (+1744)
GSTA1	rep2_peak_34673 (-22301), rep2_peak_34672 (-11511), rep2_peak_34670 (+15818), rep2_peak_34667 (+27028)
GSTA2	rep2_peak_34670 (-24523), rep2_peak_34667 (-13313)
GSTA5	rep2_peak_34673 (+14632), rep2_peak_34672 (+25422)
GSTO1	rep2_peak_5687 (-1421)
GSTO2	rep2_peak_5695 (+19382)
GSTP1	rep2_peak_7089 (-4401), rep2_peak_7091 (-1845)
GSTT2B	rep2_peak_26053 (+22239)
GSX2	rep2_peak_30084 (-14611)
GTF2H2	rep2_peak_31835 (-135)
GTF2H2C	rep2_peak_31810 (-134)
GTF2I	rep2_peak_37149 (-29469), rep2_peak_37151 (-3704)
GTF3C6	rep2_peak_35205 (-6080), rep2_peak_35206 (+88)
GTPBP10	rep2_peak_37342 (+2932)
GTPBP4	rep2_peak_4107 (-13828)
GTSF1L	rep2_peak_24878 (+1479)
GUCD1	rep2_peak_26080 (-23135)
GXYLT2	rep2_peak_27979 (+4188)
GYG1	rep2_peak_28695 (+19470)
H1F0	rep2_peak_26451 (-1692)
H2AFY2	rep2_peak_4957 (+1290)
H2BFS	rep2_peak_25764 (+26647)
H3F3C	rep2_peak_8492 (+18871)
H6PD	rep2_peak_272 (-6321), rep2_peak_276 (+9737)
HAAO	rep2_peak_21009 (-71)
HABP2	rep2_peak_5806 (-11589)
HABP4	rep2_peak_40856 (-20299)
HACD2	rep2_peak_28317 (-20855), rep2_peak_28316 (-20135)
HACD3	rep2_peak_12786 (+1833)
HACL1	rep2_peak_27026 (-4860), rep2_peak_27025 (+46)
HADH	rep2_peak_30560 (-10707)
HAL	rep2_peak_9309 (-44), rep2_peak_9307 (+19793), rep2_peak_9306 (+21859)
HAO2	rep2_peak_2211 (-27158)
HAP1	rep2_peak_16263 (-15510)
HAUS4	rep2_peak_10905 (-20659), rep2_peak_10904 (-19664)
HAUS5	rep2_peak_19525 (-7491)
HBP1	rep2_peak_37716 (-551), rep2_peak_37717 (+845)
HCAR2	rep2_peak_9814 (-4953), rep2_peak_9812 (+23661)
HCAR3	rep2_peak_9814 (+8596)
HCFC1	rep2_peak_42698 (+23450)
HDAC1	rep2_peak_908 (+29854)
HDAC11	rep2_peak_26988 (-9094)
HDAC5	rep2_peak_16453 (-3455), rep2_peak_16451 (+12296), rep2_peak_16450 (+14832)
HDHD3	rep2_peak_41157 (-6036)
HDLBP	rep2_peak_23978 (-12540)
HEBP2	rep2_peak_35584 (-57)
HECTD1	rep2_peak_11011 (-22338)
HEG1	rep2_peak_28368 (-7315)
HELZ	rep2_peak_17094 (-2019)
HEMK1	rep2_peak_27599 (+20030)
HERPUD1	rep2_peak_14550 (-12620), rep2_peak_14553 (+1053), rep2_peak_14555 (+17351)
HERPUD2	rep2_peak_36702 (-10)
HES1	rep2_peak_29369 (-23490), rep2_peak_29371 (-4724), rep2_peak_29373 (-1051), rep2_peak_29374 (-6), rep2_peak_29377 (+5693)
HES2	rep2_peak_169 (+6839)
HES3	rep2_peak_161 (-3762)
HES7	rep2_peak_15616 (-14892)
HEXIM2	rep2_peak_16495 (+10813)
HFE2	rep2_peak_2334 (-22189)
HGD	rep2_peak_28269 (-11019), rep2_peak_28268 (+285), rep2_peak_28267 (+2158), rep2_peak_28266 (+4093)
HHATL	rep2_peak_27380 (-29631)
HHEX	rep2_peak_5366 (+7831)
HHIPL1	rep2_peak_12026 (+4758)
HIBADH	rep2_peak_36594 (-23509)
HIF1A	rep2_peak_11446 (-2361), rep2_peak_11448 (+17522)
HIGD1C	rep2_peak_8721 (-20955), rep2_peak_8722 (-18556)
HIGD2A	rep2_peak_33196 (-16380)
HIKESHI	rep2_peak_7467 (-10524)
HILPDA	rep2_peak_37874 (+8223)
HINT3	rep2_peak_35376 (-12169)
HIST1H2BC	rep2_peak_33856 (+815)
HIST1H2BH	rep2_peak_33874 (+8643)
HIST1H2BL	rep2_peak_33970 (+14920)
HIST1H3C	rep2_peak_33846 (+849)
HIST1H3G	rep2_peak_33874 (+11521)
HIST1H4A	rep2_peak_33838 (+3138)
HIST1H4B	rep2_peak_33840 (-65), rep2_peak_33838 (+2435)
HIST1H4C	rep2_peak_33853 (+36)
HIST1H4E	rep2_peak_33867 (+38)
HIST1H4J	rep2_peak_33977 (+24)
HIST2H4A	rep2_peak_2408 (-40)
HIST2H4B	rep2_peak_2413 (+53)
HIST3H2BB	rep2_peak_3726 (+21918)
HIVEP2	rep2_peak_35681 (-1316)
HK2	rep2_peak_21686 (-27260), rep2_peak_21687 (-20985), rep2_peak_21689 (-17268), rep2_peak_21693 (+6517), rep2_peak_21694 (+22449)
HLF	rep2_peak_16721 (+19354), rep2_peak_16722 (+21019), rep2_peak_16723 (+22177)
HMGA2	rep2_peak_9005 (+14340)
HMGCS2	rep2_peak_2228 (-21738)
HMGN4	rep2_peak_33904 (-936)
HMOX1	rep2_peak_26358 (-16424), rep2_peak_26359 (-8734), rep2_peak_26360 (-3731), rep2_peak_26361 (-1496), rep2_peak_26362 (+236)
HNF1A	rep2_peak_9739 (-275), rep2_peak_9740 (+2400)
HNF1B	rep2_peak_16112 (+15146), rep2_peak_16111 (+27937)
HNF4A	rep2_peak_24893 (-6578), rep2_peak_24896 (+10090), rep2_peak_24898 (+18167), rep2_peak_24899 (+27394)
HNMT	rep2_peak_22526 (-21041), rep2_peak_22528 (-82), rep2_peak_22529 (+4568)
HNRNPA0	rep2_peak_32627 (+12439)
HNRNPA3	rep2_peak_22999 (-24786), rep2_peak_23000 (-23892)
HNRNPAB	rep2_peak_33257 (-9236)
HNRNPD	rep2_peak_30338 (-349)
HNRNPDL	rep2_peak_30340 (-210)
HNRNPF	rep2_peak_4629 (-24253), rep2_peak_4628 (-21474), rep2_peak_4625 (-2620)
HNRNPH1	rep2_peak_33273 (+1063)
HNRNPLL	rep2_peak_20910 (-8398)
HOOK3	rep2_peak_38966 (+12925)
HORMAD2	rep2_peak_26219 (-25294), rep2_peak_26220 (-17709)
HOXA2	rep2_peak_36586 (-19708)
HOXA3	rep2_peak_36586 (+4501)
HOXA4	rep2_peak_36589 (-5332)
HOXA5	rep2_peak_36589 (+7537)
HOXD1	rep2_peak_22987 (-1395)
HOXD3	rep2_peak_22987 (+26293)
HP	rep2_peak_14879 (-105)
HPCAL1	rep2_peak_20400 (-2714), rep2_peak_20401 (-82), rep2_peak_20402 (+23977)
HPD	rep2_peak_9780 (-17683)
HPDL	rep2_peak_1187 (+9229)
HPN	rep2_peak_19501 (+573)
HPR	rep2_peak_14880 (-94)
HPSE	rep2_peak_30363 (-26596)
HPX	rep2_peak_6174 (-41), rep2_peak_6173 (+6876)
HR	rep2_peak_38593 (+18614), rep2_peak_38592 (+20268)
HRAS	rep2_peak_6061 (+17602)
HRASLS2	rep2_peak_6891 (-20104)
HRASLS5	rep2_peak_6888 (-724)
HS3ST3B1	rep2_peak_15699 (-24367), rep2_peak_15705 (+15586), rep2_peak_15706 (+24865)
HS3ST6	rep2_peak_13484 (-22303), rep2_peak_13483 (-17089)
HS6ST1	rep2_peak_22455 (+8896), rep2_peak_22454 (+12107)
HSBP1	rep2_peak_15098 (+6518)
