A1BG	rep2_peak_20236 (-82)
NIF3L1	rep2_peak_23275 (-121)
NIFK	rep2_peak_22396 (+87), rep2_peak_22395 (+29177)
NIN	rep2_peak_11236 (-8155), rep2_peak_11235 (-3875)
NINJ1	rep2_peak_40774 (+581), rep2_peak_40773 (+7230), rep2_peak_40772 (+14193), rep2_peak_40771 (+18064), rep2_peak_40770 (+21694), rep2_peak_40769 (+24910)
NINJ2	rep2_peak_8078 (-9274), rep2_peak_8077 (+17003), rep2_peak_8076 (+18082)
NINL	rep2_peak_24526 (-17582), rep2_peak_24525 (+779), rep2_peak_24524 (+6255)
NIP7	rep2_peak_14771 (+251)
NIPA1	rep2_peak_12184 (-25654), rep2_peak_12185 (-332)
NIPA2	rep2_peak_12186 (+14), rep2_peak_12187 (+5976)
NIPAL1	rep2_peak_30038 (-152), rep2_peak_30039 (+22091), rep2_peak_30040 (+26398)
NIPAL2	rep2_peak_39379 (-3675), rep2_peak_39378 (+526), rep2_peak_39377 (+9816)
NIPAL3	rep2_peak_673 (-166)
NIPAL4	rep2_peak_33005 (+18303), rep2_peak_33006 (+19751), rep2_peak_33007 (+25080), rep2_peak_33008 (+25478)
NIPBL	rep2_peak_31439 (-7), rep2_peak_31440 (+673)
NIPSNAP1	rep2_peak_26211 (-15994), rep2_peak_26210 (+941), rep2_peak_26209 (+5800), rep2_peak_26208 (+10200), rep2_peak_26207 (+12020)
NIPSNAP2	rep2_peak_36962 (+388)
NIPSNAP3A	rep2_peak_40961 (+118)
NIPSNAP3B	rep2_peak_40962 (+70)
NISCH	rep2_peak_27655 (-140)
NIT1	rep2_peak_2695 (-104)
NIT2	rep2_peak_28115 (-94), rep2_peak_28116 (+18156)
NKAIN4	rep2_peak_25360 (+13014)
NKAP	rep2_peak_42479 (-29186), rep2_peak_42478 (+82), rep2_peak_42477 (+8058)
NKD1	rep2_peak_14422 (-27653), rep2_peak_14423 (-17524), rep2_peak_14424 (-8925), rep2_peak_14425 (-668)
NKIRAS1	rep2_peak_27068 (-363)
NKIRAS2	rep2_peak_16279 (-27113), rep2_peak_16280 (+489)
NKPD1	rep2_peak_19813 (-12788), rep2_peak_19812 (+4324)
NKTR	rep2_peak_27376 (-41)
NKX1-1	rep2_peak_29545 (-4287)
NKX2-2	rep2_peak_24433 (-16071), rep2_peak_24432 (+8648)
NKX2-3	rep2_peak_5526 (+3885)
NKX2-8	rep2_peak_11110 (-22420)
NKX3-1	rep2_peak_38648 (-44)
NKX3-2	rep2_peak_29774 (-66)
NKX6-3	rep2_peak_38924 (+21651)
NLE1	rep2_peak_16062 (+45)
NLK	rep2_peak_15914 (-11550), rep2_peak_15915 (+13973), rep2_peak_15916 (+15859)
NLN	rep2_peak_31750 (-198)
NLRC3	rep2_peak_13578 (-21935), rep2_peak_13577 (-19254)
NLRC4	rep2_peak_20835 (+218)
NLRC5	rep2_peak_14556 (-24452), rep2_peak_14557 (-21631), rep2_peak_14558 (-15955), rep2_peak_14559 (+169), rep2_peak_14560 (+15195)
NLRP12	rep2_peak_20126 (-18028), rep2_peak_20125 (+15587)
NLRP6	rep2_peak_6048 (-9602)
NMB	rep2_peak_13145 (+167)
NMD3	rep2_peak_28879 (-5881)
NME1	rep2_peak_16694 (-7162), rep2_peak_16695 (-62)
NME2	rep2_peak_16696 (-404), rep2_peak_16697 (+578)
NME6	rep2_peak_27494 (-115)
NME7	rep2_peak_2860 (-117)
NMI	rep2_peak_22605 (+512), rep2_peak_22604 (+25691)
NMNAT1	rep2_peak_308 (+5)
NMNAT2	rep2_peak_3069 (-9119)
NMNAT3	rep2_peak_28600 (+64), rep2_peak_28599 (+23128)
NMRAL1	rep2_peak_13609 (-55), rep2_peak_13608 (+14545), rep2_peak_13607 (+16699)
NMRK1	rep2_peak_40580 (+75), rep2_peak_40579 (+1205)
NMT1	rep2_peak_16482 (-29674), rep2_peak_16483 (-20656)
NMT2	rep2_peak_4297 (+106), rep2_peak_4296 (+16490), rep2_peak_4295 (+17896)
NMU	rep2_peak_30097 (+16702)
NMUR1	rep2_peak_23763 (-7873)
NNAT	rep2_peak_24801 (-15755)
NNMT	rep2_peak_7741 (-24)
NNT	rep2_peak_31567 (+435)
NOA1	rep2_peak_30117 (+61), rep2_peak_30116 (+687)
NOB1	rep2_peak_14792 (+38)
NOBOX	rep2_peak_38154 (-28714)
NOC2L	rep2_peak_21 (+80)
NOC3L	rep2_peak_5395 (-119)
NOC4L	rep2_peak_9946 (-49)
NOCT	rep2_peak_30759 (-7407), rep2_peak_30760 (-229)
NOD1	rep2_peak_36656 (-86)
NOD2	rep2_peak_14428 (-758), rep2_peak_14429 (+17461)
NODAL	rep2_peak_4982 (-812), rep2_peak_4981 (+9342), rep2_peak_4980 (+10952)
NOL10	rep2_peak_20417 (-70)
NOL11	rep2_peak_17104 (-9), rep2_peak_17105 (+10176)
NOL12	rep2_peak_26447 (+85)
NOL3	rep2_peak_14694 (+3744), rep2_peak_14695 (+13358)
NOL4L	rep2_peak_24620 (+22701), rep2_peak_24619 (+23388)
NOL6	rep2_peak_40252 (+7137), rep2_peak_40251 (+20963)
NOL7	rep2_peak_33640 (-10158), rep2_peak_33641 (-16)
NOL9	rep2_peak_174 (-45)
NOLC1	rep2_peak_5605 (+86), rep2_peak_5606 (+17483)
NOM1	rep2_peak_38291 (+77)
NOMO1	rep2_peak_13862 (-8973), rep2_peak_13863 (+19405)
NOMO2	rep2_peak_13930 (-26047), rep2_peak_13929 (-18491), rep2_peak_13928 (-9216), rep2_peak_13927 (+19007)
NOMO3	rep2_peak_13905 (+19091)
NONO	rep2_peak_42279 (+75)
NOP10	rep2_peak_12268 (-12)
NOP14	rep2_peak_29599 (-88), rep2_peak_29598 (+8281), rep2_peak_29597 (+26034)
NOP16	rep2_peak_33198 (-49), rep2_peak_33197 (+372)
NOP2	rep2_peak_8169 (-53)
NOP53	rep2_peak_19927 (-25399), rep2_peak_19928 (-16593), rep2_peak_19929 (-1830), rep2_peak_19930 (+18846), rep2_peak_19931 (+28683)
NOP56	rep2_peak_24084 (+166), rep2_peak_24085 (+773)
NOP58	rep2_peak_23303 (+102)
NOP9	rep2_peak_10964 (-146), rep2_peak_10965 (+8122)
NOS1AP	rep2_peak_2745 (-13602), rep2_peak_2746 (-349), rep2_peak_2747 (+1251), rep2_peak_2748 (+18021), rep2_peak_2749 (+22309)
NOS3	rep2_peak_38211 (+12819), rep2_peak_38212 (+14778), rep2_peak_38213 (+17889)
NOSIP	rep2_peak_20010 (+9171), rep2_peak_20009 (+26888)
NOSTRIN	rep2_peak_22853 (-17269)
NOTCH1	rep2_peak_41705 (-26437), rep2_peak_41704 (-22309), rep2_peak_41703 (+1934), rep2_peak_41702 (+19571), rep2_peak_41701 (+25614)
NOTCH2NL	rep2_peak_2337 (+21718)
NOTCH3	rep2_peak_19215 (-15503)
NOTCH4	rep2_peak_34194 (-21039), rep2_peak_34193 (+13632), rep2_peak_34192 (+27455)
NOTO	rep2_peak_21632 (-26458), rep2_peak_21633 (-24687), rep2_peak_21634 (-10361)
NOTUM	rep2_peak_17675 (-6723), rep2_peak_17674 (-5741), rep2_peak_17673 (-3417), rep2_peak_17672 (-2097)
NOX1	rep2_peak_42341 (-21281), rep2_peak_42340 (-9501)
NOX3	rep2_peak_35901 (+11586)
NOX5	rep2_peak_12854 (-4183), rep2_peak_12855 (+3415)
NOXA1	rep2_peak_41750 (-114)
NPAS1	rep2_peak_19893 (-28489), rep2_peak_19894 (-14322), rep2_peak_19895 (-6641)
NPAS2	rep2_peak_21978 (-23247), rep2_peak_21979 (-5482), rep2_peak_21980 (-1345), rep2_peak_21981 (+5745)
NPAS4	rep2_peak_7042 (+779)
NPAT	rep2_peak_7659 (-384)
NPC1	rep2_peak_18092 (+241), rep2_peak_18091 (+3240), rep2_peak_18090 (+17020)
NPC1L1	rep2_peak_36816 (-21080), rep2_peak_36815 (+63)
NPC2	rep2_peak_11682 (+260)
NPDC1	rep2_peak_41729 (-506)
NPEPPS	rep2_peak_16555 (+285)
NPFFR1	rep2_peak_4971 (+27618)
NPHP1	rep2_peak_22152 (-7455), rep2_peak_22151 (+2)
NPHP3	rep2_peak_28512 (-608)
NPHS1	rep2_peak_19539 (+5835)
NPIPA1	rep2_peak_13866 (-29017), rep2_peak_13867 (-26369)
NPIPA2	rep2_peak_13860 (-18393), rep2_peak_13861 (-8352)
NPIPA3	rep2_peak_13859 (-8344), rep2_peak_13860 (+20731)
NPIPB11	rep2_peak_14176 (-15741)
NPIPB13	rep2_peak_14228 (-15783), rep2_peak_14227 (+29778)
NPIPB15	rep2_peak_14928 (-9844)
NPIPB4	rep2_peak_14039 (-16195)
NPIPB5	rep2_peak_14061 (-15807), rep2_peak_14062 (+29497)
NPIPB6	rep2_peak_14120 (-11920), rep2_peak_14119 (-1365)
NPIPB7	rep2_peak_14125 (-20928), rep2_peak_14124 (+21673)
NPIPB8	rep2_peak_14140 (+28020)
NPIPB9	rep2_peak_14144 (-11891), rep2_peak_14145 (-1380), rep2_peak_14146 (+27897)
NPL	rep2_peak_3057 (-4905)
NPLOC4	rep2_peak_17650 (-55)
NPM1	rep2_peak_33070 (-145), rep2_peak_33071 (+995), rep2_peak_33072 (+15496)
NPM2	rep2_peak_38584 (-13637), rep2_peak_38585 (+1336), rep2_peak_38586 (+6697)
NPM3	rep2_peak_5597 (-5)
NPNT	rep2_peak_30537 (+2990)
NPPA	rep2_peak_350 (+4901)
NPR2	rep2_peak_40319 (+9341)
NPRL2	rep2_peak_27595 (+346)
NPRL3	rep2_peak_13416 (+112)
NPTN	rep2_peak_12937 (-47)
NPTX1	rep2_peak_17611 (-21788), rep2_peak_17610 (-15096), rep2_peak_17609 (+21827)
NPTX2	rep2_peak_37471 (+2668)
NPTXR	rep2_peak_26504 (-568)
NPVF	rep2_peak_36558 (-21481)
NPW	rep2_peak_13492 (-4338), rep2_peak_13493 (+3425)
NQO1	rep2_peak_14791 (+397), rep2_peak_14790 (+1855), rep2_peak_14789 (+3008), rep2_peak_14788 (+20541)
NQO2	rep2_peak_33385 (-11029), rep2_peak_33386 (-10278), rep2_peak_33387 (-9157), rep2_peak_33388 (-6039), rep2_peak_33389 (-591), rep2_peak_33390 (+20)
NR0B1	rep2_peak_41980 (-3913)
NR0B2	rep2_peak_760 (-1314), rep2_peak_759 (-273), rep2_peak_758 (+3261), rep2_peak_757 (+9494)
NR1D1	rep2_peak_16210 (-14075), rep2_peak_16209 (-12596), rep2_peak_16208 (-10749), rep2_peak_16207 (-7656), rep2_peak_16206 (-292), rep2_peak_16205 (+1565), rep2_peak_16204 (+2536), rep2_peak_16203 (+24968), rep2_peak_16202 (+27587), rep2_peak_16201 (+28229)
NR1D2	rep2_peak_27069 (+1013)
NR1H2	rep2_peak_20046 (-109)
NR1H3	rep2_peak_6652 (-4676), rep2_peak_6653 (+590)
NR1H4	rep2_peak_9355 (-29510), rep2_peak_9356 (-27999), rep2_peak_9357 (-27086)
NR1I2	rep2_peak_28254 (+12574), rep2_peak_28255 (+13309), rep2_peak_28256 (+14315)
NR1I3	rep2_peak_2707 (-17332), rep2_peak_2706 (-31)
NR2C1	rep2_peak_9281 (+47)
NR2E1	rep2_peak_35126 (-10207), rep2_peak_35127 (+7643)
NR2F1	rep2_peak_32164 (-1710), rep2_peak_32165 (-484), rep2_peak_32166 (+13920)
NR2F2	rep2_peak_13312 (-4477), rep2_peak_13313 (-3864), rep2_peak_13314 (+15), rep2_peak_13315 (+1765), rep2_peak_13316 (+8260), rep2_peak_13317 (+8768), rep2_peak_13318 (+23798), rep2_peak_13319 (+26383)
NR2F6	rep2_peak_19274 (-9503), rep2_peak_19273 (-3509), rep2_peak_19272 (-2156), rep2_peak_19271 (-1022), rep2_peak_19270 (+1431), rep2_peak_19269 (+2272), rep2_peak_19268 (+5697), rep2_peak_19267 (+19584)
NR3C1	rep2_peak_32804 (-1676), rep2_peak_32803 (-636), rep2_peak_32802 (+108)
NR3C2	rep2_peak_30843 (+334), rep2_peak_30842 (+10922)
NR4A1	rep2_peak_8733 (-27334), rep2_peak_8734 (-13824), rep2_peak_8735 (-4515), rep2_peak_8736 (-714), rep2_peak_8737 (+13469), rep2_peak_8738 (+24213)
NR4A2	rep2_peak_22666 (-9850)
NR4A3	rep2_peak_40924 (-1637), rep2_peak_40925 (-116), rep2_peak_40926 (+1211), rep2_peak_40927 (+3021)
NR5A1	rep2_peak_41368 (-29490), rep2_peak_41367 (-12915), rep2_peak_41366 (-4882), rep2_peak_41365 (-3521), rep2_peak_41364 (+264)
NR5A2	rep2_peak_3169 (+13138), rep2_peak_3170 (+14901)
NR6A1	rep2_peak_41382 (-147), rep2_peak_41381 (+1442)
NRARP	rep2_peak_41748 (-12503), rep2_peak_41747 (-81), rep2_peak_41746 (+637), rep2_peak_41745 (+1159), rep2_peak_41744 (+13279)
NRAS	rep2_peak_2139 (+80)
NRBF2	rep2_peak_4891 (-19096)
NRBP1	rep2_peak_20765 (-16190), rep2_peak_20766 (-6794), rep2_peak_20767 (-182)
NRBP2	rep2_peak_39947 (+7652), rep2_peak_39946 (+8222)
NRDC	rep2_peak_1277 (-92), rep2_peak_1276 (+11126)
NRDE2	rep2_peak_11856 (-24976), rep2_peak_11855 (+26646)
NRF1	rep2_peak_37892 (-18506)
NRG1	rep2_peak_38804 (+547)
NRG2	rep2_peak_32701 (-6706), rep2_peak_32700 (+13209)
NRGN	rep2_peak_7941 (-14621), rep2_peak_7942 (+6964), rep2_peak_7943 (+7366)
NRIP1	rep2_peak_25451 (-19816), rep2_peak_25450 (-812), rep2_peak_25449 (-125)
NRIP2	rep2_peak_8111 (-15031)
NRL	rep2_peak_10952 (+137)
NRM	rep2_peak_34103 (-4125), rep2_peak_34102 (+287)
NRN1	rep2_peak_33488 (-21868)
NRP1	rep2_peak_4540 (+1024), rep2_peak_4539 (+4922), rep2_peak_4538 (+5508), rep2_peak_4537 (+9173), rep2_peak_4536 (+29249)
NRP2	rep2_peak_23352 (-2361), rep2_peak_23353 (-38), rep2_peak_23354 (+18240), rep2_peak_23355 (+22086)
NRROS	rep2_peak_29463 (-7158), rep2_peak_29464 (+26642)
NRSN1	rep2_peak_33779 (+19673), rep2_peak_33780 (+22054)
NRSN2	rep2_peak_24022 (-19730), rep2_peak_24023 (-1292), rep2_peak_24024 (-279), rep2_peak_24025 (+1013), rep2_peak_24026 (+15606), rep2_peak_24027 (+23394), rep2_peak_24028 (+24948)
NRTN	rep2_peak_18886 (-24309), rep2_peak_18887 (-22910), rep2_peak_18888 (-19654), rep2_peak_18889 (-14569), rep2_peak_18890 (+3134), rep2_peak_18891 (+4436), rep2_peak_18892 (+14399)
NSA2	rep2_peak_31906 (+182)
NSD1	rep2_peak_33225 (-27685)
NSD2	rep2_peak_29565 (-28429), rep2_peak_29566 (-22233), rep2_peak_29567 (+11424)
NSD3	rep2_peak_38860 (-834)
NSF	rep2_peak_16537 (-4864), rep2_peak_16538 (-238)
NSFL1C	rep2_peak_24061 (-3284), rep2_peak_24060 (+15)
NSL1	rep2_peak_3453 (-120), rep2_peak_3452 (+11376)
NSMAF	rep2_peak_39073 (+56)
NSMCE1	rep2_peak_14108 (-16360), rep2_peak_14107 (-5264), rep2_peak_14106 (+53), rep2_peak_14105 (+4425), rep2_peak_14104 (+10314)
NSMCE2	rep2_peak_39679 (-79)
NSMCE4A	rep2_peak_5924 (-1615), rep2_peak_5923 (+5), rep2_peak_5922 (+560)
NSMF	rep2_peak_41753 (-23020), rep2_peak_41752 (+4335)
NSRP1	rep2_peak_15991 (-11906)
NSUN2	rep2_peak_31246 (-370)
NSUN3	rep2_peak_28060 (-46)
NSUN4	rep2_peak_1218 (+585)
NSUN5	rep2_peak_37102 (-16878), rep2_peak_37101 (-58), rep2_peak_37100 (+25345)
NSUN6	rep2_peak_4321 (-15), rep2_peak_4320 (+11702), rep2_peak_4319 (+13968), rep2_peak_4318 (+23740)
NSUN7	rep2_peak_30005 (-21389)
NT5C	rep2_peak_17317 (+19)
NT5C2	rep2_peak_5659 (-11814), rep2_peak_5658 (-185), rep2_peak_5657 (+648)
NT5C3A	rep2_peak_36674 (-311), rep2_peak_36673 (+18281)
NT5DC1	rep2_peak_35283 (-28295), rep2_peak_35284 (-202), rep2_peak_35285 (+136)
NT5DC2	rep2_peak_27657 (-268), rep2_peak_27656 (+1150)
NT5DC3	rep2_peak_9398 (-29226), rep2_peak_9397 (-14228), rep2_peak_9396 (-7121), rep2_peak_9395 (+2482)
NT5DC4	rep2_peak_22236 (-28803), rep2_peak_22237 (+4656)
NT5E	rep2_peak_34950 (-114), rep2_peak_34951 (+1952), rep2_peak_34952 (+2419), rep2_peak_34953 (+11229)
NTAN1	rep2_peak_13873 (-142), rep2_peak_13872 (+811), rep2_peak_13871 (+3886)
NTHL1	rep2_peak_13498 (+13), rep2_peak_13497 (+417)
NTMT1	rep2_peak_41547 (-28609), rep2_peak_41548 (-19565), rep2_peak_41549 (-18505), rep2_peak_41550 (-15273), rep2_peak_41551 (+130), rep2_peak_41552 (+712)
NTN3	rep2_peak_13517 (+727)
NTN4	rep2_peak_9297 (-12237), rep2_peak_9296 (-5639), rep2_peak_9295 (+28423)
NTN5	rep2_peak_19970 (-21732), rep2_peak_19969 (-20805), rep2_peak_19968 (-13270), rep2_peak_19967 (-12738), rep2_peak_19966 (-11542), rep2_peak_19965 (+21536)
NTNG1	rep2_peak_1983 (+7191)
NTSR2	rep2_peak_20468 (-6159), rep2_peak_20467 (+142)
NUAK1	rep2_peak_9414 (+9111), rep2_peak_9413 (+19257)
NUAK2	rep2_peak_3296 (-22717), rep2_peak_3295 (+2117), rep2_peak_3294 (+2970), rep2_peak_3293 (+20292), rep2_peak_3292 (+27464)
NUB1	rep2_peak_38221 (-1804), rep2_peak_38222 (+80), rep2_peak_38223 (+8665)
NUBP1	rep2_peak_13730 (-15660), rep2_peak_13731 (-4879), rep2_peak_13732 (+104)
NUCB1	rep2_peak_19982 (+74), rep2_peak_19983 (+7806)
NUCB2	rep2_peak_6359 (-95)
NUCKS1	rep2_peak_3318 (-206), rep2_peak_3317 (+743), rep2_peak_3316 (+10325), rep2_peak_3315 (+23367)
NUDC	rep2_peak_760 (-6446), rep2_peak_761 (+113), rep2_peak_762 (+16640), rep2_peak_763 (+22564), rep2_peak_764 (+23617), rep2_peak_765 (+25423), rep2_peak_766 (+26647)
NUDCD1	rep2_peak_39499 (-165)
NUDCD2	rep2_peak_33043 (-71)
NUDCD3	rep2_peak_36814 (+116), rep2_peak_36813 (+17399)
NUDT1	rep2_peak_36260 (+27021)
NUDT13	rep2_peak_5060 (+665), rep2_peak_5061 (+7685), rep2_peak_5062 (+9130), rep2_peak_5063 (+21998)
NUDT14	rep2_peak_12167 (-15381)
NUDT15	rep2_peak_10333 (+267)
NUDT16	rep2_peak_28506 (+32), rep2_peak_28507 (+12766)
NUDT16L1	rep2_peak_13616 (-29473), rep2_peak_13617 (-10524)
NUDT17	rep2_peak_2317 (+87)
NUDT18	rep2_peak_38593 (-3857), rep2_peak_38592 (-2203), rep2_peak_38591 (-988), rep2_peak_38590 (-303)
NUDT19	rep2_peak_19431 (-178), rep2_peak_19432 (+5088), rep2_peak_19433 (+10262)
NUDT2	rep2_peak_40273 (+5096), rep2_peak_40274 (+18233), rep2_peak_40275 (+19982), rep2_peak_40276 (+22785)
NUDT21	rep2_peak_14533 (-17)
NUDT22	rep2_peak_6916 (-137)
NUDT3	rep2_peak_34240 (-22650), rep2_peak_34239 (-6327), rep2_peak_34238 (-181), rep2_peak_34237 (+6658)
NUDT4	rep2_peak_9242 (-1184), rep2_peak_9243 (+59), rep2_peak_9244 (+3420)
NUDT5	rep2_peak_4246 (+66)
NUDT6	rep2_peak_30663 (-445), rep2_peak_30662 (+141), rep2_peak_30661 (+12704)
NUDT7	rep2_peak_14990 (-10539), rep2_peak_14991 (+139), rep2_peak_14992 (+1871), rep2_peak_14993 (+14589), rep2_peak_14994 (+27126)
NUDT8	rep2_peak_7098 (-2679), rep2_peak_7097 (-704), rep2_peak_7096 (+435), rep2_peak_7095 (+6804), rep2_peak_7094 (+12514)
NUDT9	rep2_peak_30399 (-12942), rep2_peak_30400 (-2805), rep2_peak_30401 (+88)
NUF2	rep2_peak_2777 (-98)
NUFIP1	rep2_peak_10293 (+18)
NUFIP2	rep2_peak_15972 (-187), rep2_peak_15971 (+19979)
NUGGC	rep2_peak_38727 (+11366), rep2_peak_38726 (+13797)
NUMA1	rep2_peak_7217 (+61)
NUMB	rep2_peak_11642 (-20320), rep2_peak_11641 (-3837), rep2_peak_11640 (+29846)
NUMBL	rep2_peak_19676 (+27686)
NUP107	rep2_peak_9027 (-9621), rep2_peak_9028 (+145)
NUP133	rep2_peak_3795 (-1421), rep2_peak_3794 (-34)
NUP153	rep2_peak_33721 (-18474), rep2_peak_33720 (-7522), rep2_peak_33719 (-125)
NUP155	rep2_peak_31447 (+52), rep2_peak_31446 (+21808)
NUP160	rep2_peak_6672 (+68)
NUP188	rep2_peak_41513 (-87)
NUP205	rep2_peak_37998 (-42)
NUP210	rep2_peak_26984 (+26347)
NUP210L	rep2_peak_2533 (-28202)
NUP214	rep2_peak_41585 (-15381), rep2_peak_41586 (-3161), rep2_peak_41587 (-2187), rep2_peak_41588 (-880), rep2_peak_41589 (+39)
NUP35	rep2_peak_23096 (+48)
NUP37	rep2_peak_9382 (-7)
NUP43	rep2_peak_35791 (-28)
NUP50	rep2_peak_26659 (-4662), rep2_peak_26660 (-4025), rep2_peak_26661 (-116), rep2_peak_26662 (+29217)
NUP54	rep2_peak_30267 (+60)
NUP58	rep2_peak_10057 (+43)
NUP62	rep2_peak_20022 (-378), rep2_peak_20021 (+70)
NUP85	rep2_peak_17322 (-6491), rep2_peak_17323 (-5596), rep2_peak_17324 (-149)
NUP88	rep2_peak_15528 (+100), rep2_peak_15527 (+551), rep2_peak_15526 (+14548)
NUP93	rep2_peak_14542 (-20615), rep2_peak_14543 (+9065)
NUP98	rep2_peak_6155 (+126)
NUPL2	rep2_peak_36512 (+88), rep2_peak_36513 (+25411)
NUPR1	rep2_peak_14132 (-2139), rep2_peak_14131 (-76), rep2_peak_14130 (+6577), rep2_peak_14129 (+10364), rep2_peak_14128 (+12441)
NUS1	rep2_peak_35314 (-122)
NUSAP1	rep2_peak_12367 (-466), rep2_peak_12368 (+395)
NUTF2	rep2_peak_14718 (-80)
NUTM1	rep2_peak_12268 (-126)
NVL	rep2_peak_3644 (+58)
NXF1	rep2_peak_6863 (+869)
NXF3	rep2_peak_42348 (-10886)
NXN	rep2_peak_15390 (-392), rep2_peak_15389 (+1066), rep2_peak_15388 (+24816)
NXPH1	rep2_peak_36407 (-377)
NXPH3	rep2_peak_16609 (-19419), rep2_peak_16610 (-5690), rep2_peak_16611 (+19681), rep2_peak_16612 (+21222)
NXT1	rep2_peak_24473 (-417), rep2_peak_24474 (+7391)
NXT2	rep2_peak_42399 (+1186)
NYAP1	rep2_peak_37562 (-623)
NYX	rep2_peak_42075 (-4955)
OAF	rep2_peak_7880 (-25162), rep2_peak_7881 (-17457), rep2_peak_7882 (-11864), rep2_peak_7883 (-2605), rep2_peak_7884 (-1828), rep2_peak_7885 (+127), rep2_peak_7886 (+7329)
OARD1	rep2_peak_34400 (-342), rep2_peak_34399 (+116), rep2_peak_34398 (+6864), rep2_peak_34397 (+8559)
OAS1	rep2_peak_9575 (-5380), rep2_peak_9576 (+18342), rep2_peak_9577 (+19816)
OAS3	rep2_peak_9576 (-13227), rep2_peak_9577 (-11753), rep2_peak_9578 (+71)
OASL	rep2_peak_9744 (-21349), rep2_peak_9743 (+13407)
OAT	rep2_peak_5962 (-353), rep2_peak_5961 (+2013)
OAZ1	rep2_peak_18740 (-5792), rep2_peak_18741 (+52)
OAZ2	rep2_peak_12752 (-29404), rep2_peak_12751 (-92), rep2_peak_12750 (+9961)
OBP2B	rep2_peak_41624 (-29400)
OBSL1	rep2_peak_23609 (-701), rep2_peak_23608 (+18663), rep2_peak_23607 (+25197)
OCA2	rep2_peak_12218 (+16298), rep2_peak_12217 (+28386)
OCIAD1	rep2_peak_30049 (+157)
OCLN	rep2_peak_31805 (-19563), rep2_peak_31806 (+258), rep2_peak_31807 (+22384), rep2_peak_31808 (+25700)
OCM	rep2_peak_36339 (-11707), rep2_peak_36340 (-8067)
OCM2	rep2_peak_37454 (+17924)
OCRL	rep2_peak_42553 (-15619), rep2_peak_42554 (-14969)
OCSTAMP	rep2_peak_24961 (-14197), rep2_peak_24960 (-12167), rep2_peak_24959 (+26742), rep2_peak_24958 (+27229)
ODAM	rep2_peak_30199 (-13581), rep2_peak_30200 (-3414), rep2_peak_30201 (+7326)
ODC1	rep2_peak_20411 (-1623), rep2_peak_20410 (-305), rep2_peak_20409 (+616), rep2_peak_20408 (+10452), rep2_peak_20407 (+13457)
ODF2	rep2_peak_41492 (-17608)
ODF3L2	rep2_peak_18628 (-14105), rep2_peak_18627 (-10970), rep2_peak_18626 (+12960)
OGDH	rep2_peak_36818 (-126)
OGDHL	rep2_peak_4745 (-84)
OGFOD1	rep2_peak_14533 (-98)
OGFOD2	rep2_peak_9826 (-588), rep2_peak_9827 (-93)
OGFR	rep2_peak_25342 (+1267)
OGFRL1	rep2_peak_34841 (-23140)
OGG1	rep2_peak_26892 (-117), rep2_peak_26893 (+18685)
OGT	rep2_peak_42283 (-99)
OIP5	rep2_peak_12368 (-645), rep2_peak_12367 (+216)
OIT3	rep2_peak_5053 (+19843)
OLA1	rep2_peak_22965 (-15508), rep2_peak_22964 (-152), rep2_peak_22963 (+265), rep2_peak_22962 (+14714)
OLFM1	rep2_peak_41680 (-1605)
OLFM2	rep2_peak_19018 (-12241), rep2_peak_19017 (+21661)
OLFML1	rep2_peak_6184 (+9064)
OLFML2A	rep2_peak_41383 (+2234), rep2_peak_41384 (+17850)
OLFML2B	rep2_peak_2744 (-724)
OLFML3	rep2_peak_2131 (-105)
OMA1	rep2_peak_1441 (-23458), rep2_peak_1440 (-38)
OMG	rep2_peak_16018 (+22997), rep2_peak_16017 (+28046)
OMP	rep2_peak_7367 (-7004), rep2_peak_7368 (-5172)
ONECUT1	rep2_peak_12538 (-13907), rep2_peak_12537 (-560), rep2_peak_12536 (+4717)
ONECUT2	rep2_peak_18413 (-13173), rep2_peak_18414 (-11672), rep2_peak_18415 (-399), rep2_peak_18416 (+2349), rep2_peak_18417 (+10477)
OPA1	rep2_peak_29350 (+60)
OPA3	rep2_peak_19837 (-6284), rep2_peak_19836 (-49), rep2_peak_19835 (+712), rep2_peak_19834 (+7092)
OPHN1	rep2_peak_42259 (-20859)
OPLAH	rep2_peak_39961 (-9466), rep2_peak_39960 (+23029), rep2_peak_39959 (+23835)
OPN1LW	rep2_peak_42702 (-20223), rep2_peak_42703 (-12151), rep2_peak_42704 (-7422), rep2_peak_42705 (-5709)
OPN3	rep2_peak_4018 (-1621), rep2_peak_4017 (-993), rep2_peak_4016 (-299)
OPTN	rep2_peak_4258 (-19335), rep2_peak_4259 (-346), rep2_peak_4260 (+7574)
OR10G2	rep2_peak_10880 (+2489)
OR10H1	rep2_peak_19235 (-21275)
OR14I1	rep2_peak_4091 (+4908)
OR1E1	rep2_peak_15456 (+27674)
OR1F1	rep2_peak_13563 (-21537), rep2_peak_13564 (-16087), rep2_peak_13565 (-5579)
OR1I1	rep2_peak_19212 (-8810), rep2_peak_19213 (+15990)
OR1J1	rep2_peak_41311 (+13968)
OR2A5	rep2_peak_38152 (-16248)
OR2AE1	rep2_peak_37521 (-10404), rep2_peak_37520 (+16426)
OR2B2	rep2_peak_33992 (+9374), rep2_peak_33991 (+11972)
OR2F2	rep2_peak_38151 (-28083)
